,player_id,name,current_club_id,date_of_birth,position,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,last_season,year_of_birth,age,year,total_goals,total_yellow_cards,total_red_cards,total_minutes_played,total_assists,total_games_played,performance_career,total_goals_cur_club,total_yellow_cards_cur_club,total_red_cards_cur_club,total_minutes_played_cur_club,total_assists_cur_club,total_goals_2022,total_yellow_cards_2022,total_red_cards_2022,total_minutes_played_2022,total_assists_2022,games_played_2022,performance_2022,total_goals_2020,total_yellow_cards_2020,total_red_cards_2020,total_minutes_played_2020,total_assists_2020,games_played_2020,performance_2020,improved_performance,raw_performance_score,normalised_performance_score
860,256000,Marko Jevtovic,2832,1993-07-24,Midfield,1300000.0,2100000.0,2024-06-30,2022,1993,29,6,13,29,0,8794,4,110,896.9945454545456,1,4,0,1251,0,3,8,0,2967,1,36,308.0416666666667,2,4,0,1716,1,22,181.55,1,1092.2132210031348,15.844265808364218
861,353775,David Akintola,3840,1996-01-13,Attack,2600000.0,2600000.0,2024-06-30,2022,1996,26,7,14,11,1,5999,13,94,622.4819148936169,3,1,0,1342,2,8,9,1,3997,8,65,416.19923076923084,5,8,1,2655,6,34,279.20882352941175,1,1214.8832425146818,17.623786867230002
862,380415,Henry Onyekuru,3840,1997-06-05,Attack,6000000.0,13000000.0,2023-06-30,2022,1997,25,8,48,24,0,12093,21,170,1251.8635294117646,4,4,0,1125,2,10,5,0,3358,7,55,351.9054545454546,6,1,0,1898,5,35,201.72285714285715,1,1355.6728036669213,19.666160267444162
863,86926,Alexander Merkel,2832,1992-02-22,Midfield,1000000.0,5000000.0,2023-06-30,2022,1992,30,7,5,18,0,6903,8,100,707.253,1,3,0,667,1,2,4,0,1396,2,32,147.36249999999998,1,1,0,729,1,13,80.0576923076923,1,654.8446089743591,9.499548117751905
864,326843,Erhun Öztümer,3840,1991-05-29,Attack,400000.0,750000.0,2023-06-30,2022,1991,31,3,1,3,0,988,2,29,105.75689655172417,1,0,0,194,0,1,3,0,987,2,28,105.67500000000001,0,3,0,748,2,17,81.25,1,292.6893353726363,4.245917866346904
865,278654,Emre Akbaba,3840,1992-10-04,Attack,2000000.0,5500000.0,2024-06-30,2022,1992,30,9,45,21,0,12889,31,191,1334.9481675392672,2,0,0,703,1,17,5,0,4234,6,66,442.7651515151516,7,2,0,2174,4,34,230.19411764705885,1,1561.9659286894198,22.6587655980156
866,655898,Ahmet Gülay,11282,2003-01-13,Defender,375000.0,400000.0,2023-06-30,2022,2003,19,3,0,0,0,398,0,10,44.78,0,0,0,64,0,0,0,0,178,0,6,21.366666666666667,0,0,0,114,0,2,17.3,1,71.81894736842105,1.0418464731062957
867,34453,Birkir Bjarnason,3840,1988-05-27,Attack,600000.0,3500000.0,2023-06-30,2022,1988,34,4,5,3,0,2867,4,54,299.75925925925924,3,1,0,1012,1,5,2,0,1942,1,37,204.79864864864865,2,1,0,930,0,16,100.96249999999999,1,558.0989261320144,8.096100251264843
868,19041,Gökhan Inler,3840,1984-06-27,Midfield,175000.0,18000000.0,2023-06-30,2022,1984,38,10,5,19,0,9033,5,167,924.5589820359282,2,0,0,1700,2,2,3,0,2200,3,42,230.03809523809522,0,3,0,500,1,12,55.166666666666664,1,862.6348794891421,12.513871891826309
869,532905,Arda Kizildag,2832,1998-10-15,Defender,550000.0,1300000.0,2025-06-30,2022,1998,24,5,2,9,0,3105,1,42,320.04285714285714,1,1,0,326,0,1,7,0,2086,1,27,217.42592592592595,0,6,0,1760,1,21,185.08095238095237,1,671.3454365079365,9.73891850118295
